"記事番号","カテゴリ","記事タイトル","画像枚数の目安","アイキャッチ_ファイル名","アイキャッチ_alt","検索キーワード(日)","検索キーワード(英)","本文中画像のヒント"
"018","売買・購入","不動産仲介手数料の計算方法｜上限・早見表と値引きの可否を解説","アイキャッチ1枚（必須）＋本文中1枚（任意）","018-chukai-tesuryo-keisan-hero.jpg","電卓と物件資料を前に仲介手数料を計算する人。不動産取引の費用を確認している様子","仲介手数料 / 不動産 / マンション","japanese couple home buying real estate apartment","最初の見出し（##）付近に「仲介手数料」に関する写真や図解を1枚（任意）。ファイル名例: 018-chukai-tesuryo-keisan-01.jpg"
"019","売買・購入","再建築不可物件の注意点｜私道・接道義務とは何かをやさしく解説","アイキャッチ1枚（必須）＋本文中1枚（任意）","019-saikenchiku-fuka-bukken-hero.jpg","狭い私道に面した古い戸建て住宅。再建築不可物件の典型的な立地条件を示す様子","再建築不可 / 不動産 / マンション","japanese couple home buying real estate apartment","最初の見出し（##）付近に「再建築不可」に関する写真や図解を1枚（任意）。ファイル名例: 019-saikenchiku-fuka-bukken-01.jpg"
"020","売買・購入","フラット35が使える中古物件の条件｜技術基準と適合証明をやさしく解説","アイキャッチ1枚（必須）＋本文中1枚（任意）","020-flat35-chuko-joken-hero.jpg","中古マンションの内見で建物の状態を確認する夫婦。フラット35の技術基準への適合をイメージした一枚","フラット35 / 不動産 / マンション","japanese couple home buying real estate apartment","最初の見出し（##）付近に「フラット35」に関する写真や図解を1枚（任意）。ファイル名例: 020-flat35-chuko-joken-01.jpg"
"021","売買・購入","不動産購入の必要書類｜申し込みから決済までの期間と準備物を一覧で解説","アイキャッチ1枚（必須）＋本文中1枚（任意）","021-fudosan-kounyu-hitsuyo-shorui-hero.jpg","不動産購入の手続きで必要書類を確認する人。住民票や印鑑証明、本人確認書類などを準備している様子","不動産購入 / 不動産 / マンション","japanese couple home buying real estate apartment","最初の見出し（##）付近に「不動産購入」に関する写真や図解を1枚（任意）。ファイル名例: 021-fudosan-kounyu-hitsuyo-shorui-01.jpg"
"022","売買・購入","住み替えの段取り｜売り先行・買い先行どっちが得かをやさしく比較","アイキャッチ1枚（必須）＋本文中1枚（任意）","022-sumikae-urisaki-kaisaki-hero.jpg","住み替えを検討する家族が、今の家の売却と次の家の購入のタイミングを話し合っている様子","住み替え / 不動産 / マンション","japanese couple home buying real estate apartment","最初の見出し（##）付近に「住み替え」に関する写真や図解を1枚（任意）。ファイル名例: 022-sumikae-urisaki-kaisaki-01.jpg"
"023","売買・売却","不動産売却で高く売る7つのコツ｜内覧準備から価格設定まで","アイキャッチ1枚（必須）＋本文中1枚（任意）","023-fudosan-takaku-uru-kotsu-hero.jpg","内覧に向けて整えられた明るいリビング。第一印象づくりが高値売却の鍵","不動産 / 一戸建て / 住宅 売却","selling home japan real estate house key handover","最初の見出し（##）付近に「不動産」に関する写真や図解を1枚（任意）。ファイル名例: 023-fudosan-takaku-uru-kotsu-01.jpg"
"024","売買・売却","マンション査定の前に知るべき相場の調べ方","アイキャッチ1枚（必須）＋本文中1枚（任意）","024-mansion-satei-soba-hero.jpg","マンションの相場をパソコンで調べる様子。査定前の事前準備が損しない売却の第一歩","マンション / 不動産 / 一戸建て","selling home japan real estate house key handover","最初の見出し（##）付近に「マンション」に関する写真や図解を1枚（任意）。ファイル名例: 024-mansion-satei-soba-01.jpg"
"025","売買・売却","一般媒介・専任・専属専任の違いと選び方","アイキャッチ1枚（必須）＋本文中1枚（任意）","025-baikai-keiyaku-chigai-hero.jpg","媒介契約の書類を確認する売主と担当者。契約タイプの選択が売却活動を左右する","媒介契約 / 不動産 / 一戸建て","selling home japan real estate house key handover","最初の見出し（##）付近に「媒介契約」に関する写真や図解を1枚（任意）。ファイル名例: 025-baikai-keiyaku-chigai-01.jpg"
"026","売買・売却","不動産売却の税金｜譲渡所得税と3,000万円特別控除","アイキャッチ1枚（必須）＋本文中1枚（任意）","026-fudosan-baikyaku-zeikin-hero.jpg","売却益と税金を計算する様子。控除を知っているかどうかで手取りが変わる","不動産 / 一戸建て / 住宅 売却","selling home japan real estate house key handover","最初の見出し（##）付近に「不動産」に関する写真や図解を1枚（任意）。ファイル名例: 026-fudosan-baikyaku-zeikin-01.jpg"
"027","売買・売却","住みながら家を売る方法と内覧対応のポイント","アイキャッチ1枚（必須）＋本文中1枚（任意）","027-suminagara-baikyaku-hero.jpg","生活しながら内覧に備えて整えられた室内。住みながらでも好印象な売却は可能","住みながら / 不動産 / 一戸建て","selling home japan real estate house key handover","最初の見出し（##）付近に「住みながら」に関する写真や図解を1枚（任意）。ファイル名例: 027-suminagara-baikyaku-01.jpg"
"028","売買・売却","不動産売却の必要書類チェックリスト","アイキャッチ1枚（必須）＋本文中1枚（任意）","028-fudosan-baikyaku-shorui-hero.jpg","売却手続きに必要な書類を整理する様子。事前準備で取引がスムーズに進む","不動産売却 / 不動産 / 一戸建て","selling home japan real estate house key handover","最初の見出し（##）付近に「不動産売却」に関する写真や図解を1枚（任意）。ファイル名例: 028-fudosan-baikyaku-shorui-01.jpg"
"029","売買・売却","売れない家の原因と価格見直しのタイミング｜東京・首都圏","アイキャッチ1枚（必須）＋本文中1枚（任意）","029-ie-urenai-genin-hero.jpg","売り出し中の戸建て玄関。内覧者を迎える準備を整えている様子","家 / 不動産 / 一戸建て","selling home japan real estate house key handover","最初の見出し（##）付近に「家」に関する写真や図解を1枚（任意）。ファイル名例: 029-ie-urenai-genin-01.jpg"
"030","売買・売却","査定額が会社で違う理由と適正価格の見抜き方｜東京","アイキャッチ1枚（必須）＋本文中1枚（任意）","030-satei-gaku-chigau-hero.jpg","複数社の査定書を見比べながら検討する売主のデスク","不動産査定 / 不動産 / 一戸建て","selling home japan real estate house key handover","最初の見出し（##）付近に「不動産査定」に関する写真や図解を1枚（任意）。ファイル名例: 030-satei-gaku-chigau-01.jpg"
"031","売買・売却","ローン残債があっても家は売れる？オーバーローン対策","アイキャッチ1枚（必須）＋本文中1枚（任意）","031-loan-zansai-baikyaku-hero.jpg","住宅ローンの残高証明書と売却資金計画を確認する夫婦","ローン残債 / 不動産 / 一戸建て","selling home japan real estate house key handover","最初の見出し（##）付近に「ローン残債」に関する写真や図解を1枚（任意）。ファイル名例: 031-loan-zansai-baikyaku-01.jpg"
"032","売買・売却","買取と仲介の違い｜早く売るか高く売るか｜東京・首都圏","アイキャッチ1枚（必須）＋本文中1枚（任意）","032-kaitori-chukai-chigai-hero.jpg","買取と仲介を比較しながら売却方法を検討する売主","不動産 / 一戸建て / 住宅 売却","selling home japan real estate house key handover","最初の見出し（##）付近に「不動産」に関する写真や図解を1枚（任意）。ファイル名例: 032-kaitori-chukai-chigai-01.jpg"
"033","売買・売却","売却前にリフォームすべき？費用対効果の判断｜東京","アイキャッチ1枚（必須）＋本文中1枚（任意）","033-baikyaku-mae-reform-hero.jpg","売却前にハウスクリーニングを終えた明るいキッチン","売却前 / 不動産 / 一戸建て","selling home japan real estate house key handover","最初の見出し（##）付近に「売却前」に関する写真や図解を1枚（任意）。ファイル名例: 033-baikyaku-mae-reform-01.jpg"
"034","売買・売却","空き家を売る前にやるべきこと｜放置リスクと税金","アイキャッチ1枚（必須）＋本文中1枚（任意）","034-akiya-baikyaku-hero.jpg","相続した空き家の前で売却の準備を進める家族","空き家 / 不動産 / 一戸建て","selling home japan real estate house key handover","最初の見出し（##）付近に「空き家」に関する写真や図解を1枚（任意）。ファイル名例: 034-akiya-baikyaku-01.jpg"
"035","売買・売却","離婚時の家の財産分与と売却タイミング｜東京・首都圏","アイキャッチ1枚（必須）＋本文中1枚（任意）","035-rikon-ie-baikyaku-hero.jpg","離婚を機に売却を検討する戸建て住宅。書類を前に夫婦が話し合う様子","離婚 / 不動産 / 一戸建て","selling home japan real estate house key handover","最初の見出し（##）付近に「離婚」に関する写真や図解を1枚（任意）。ファイル名例: 035-rikon-ie-baikyaku-01.jpg"
"036","売買・売却","不動産売却にかかる期間の目安とスケジュール｜東京・首都圏","アイキャッチ1枚（必須）＋本文中1枚（任意）","036-fudosan-baikyaku-kikan-hero.jpg","売却スケジュールをカレンダーで確認する様子。査定から引き渡しまでの流れを整理","不動産売却 / 不動産 / 一戸建て","selling home japan real estate house key handover","最初の見出し（##）付近に「不動産売却」に関する写真や図解を1枚（任意）。ファイル名例: 036-fudosan-baikyaku-kikan-01.jpg"
"037","売買・売却","媒介契約後の売却活動でチェックすべき販売状況｜東京・首都圏","アイキャッチ1枚（必須）＋本文中1枚（任意）","037-baikyaku-katsudo-shinchoku-hero.jpg","不動産会社からの売却活動報告書を確認する売主。反響件数や内覧数をチェック","売却活動 / 不動産 / 一戸建て","selling home japan real estate house key handover","最初の見出し（##）付近に「売却活動」に関する写真や図解を1枚（任意）。ファイル名例: 037-baikyaku-katsudo-shinchoku-01.jpg"
"038","売買・売却","土地を売るときの境界確定と測量の基礎知識｜東京・首都圏","アイキャッチ1枚（必須）＋本文中1枚（任意）","038-tochi-baikyaku-kyokai-hero.jpg","土地の境界標を確認する様子。売却前の確定測量で境界を明確にする","土地 / 不動産 / 一戸建て","selling home japan real estate house key handover","最初の見出し（##）付近に「土地」に関する写真や図解を1枚（任意）。ファイル名例: 038-tochi-baikyaku-kyokai-01.jpg"
"039","売買・売却","親の家を売る｜実家じまいの進め方と注意点｜東京・首都圏","アイキャッチ1枚（必須）＋本文中1枚（任意）","039-jikka-baikyaku-susumekata-hero.jpg","実家じまいで片付けを進める様子。相続した親の家を売却するための準備","実家 / 不動産 / 一戸建て","selling home japan real estate house key handover","最初の見出し（##）付近に「実家」に関する写真や図解を1枚（任意）。ファイル名例: 039-jikka-baikyaku-susumekata-01.jpg"
"040","売買・売却","マンションを売るベストなタイミングと築年数の影響｜東京・首都圏","アイキャッチ1枚（必須）＋本文中1枚（任意）","040-mansion-baikyaku-timing-hero.jpg","売却を検討するマンションの外観。築年数や市況から売り時を見極める","マンション / 不動産 / 一戸建て","selling home japan real estate house key handover","最初の見出し（##）付近に「マンション」に関する写真や図解を1枚（任意）。ファイル名例: 040-mansion-baikyaku-timing-01.jpg"
"041","お金・ローン","変動金利と固定金利、どっちを選ぶ？2026年の住宅ローン金利の考え方","アイキャッチ1枚（必須）＋本文中1枚（任意）","041-hendo-kotei-kinri-docchi-hero.jpg","住宅ローンの変動金利と固定金利を資料で比較検討する様子。金利タイプの違いを確認している","変動金利 / 住宅ローン / 家計","home loan finance money calculator financial planning","最初の見出し（##）付近に「変動金利」に関する写真や図解を1枚（任意）。ファイル名例: 041-hendo-kotei-kinri-docchi-01.jpg"
"042","お金・ローン","住宅ローン審査に通るための事前準備と落ちる理由を徹底解説","アイキャッチ1枚（必須）＋本文中1枚（任意）","042-jutaku-loan-shinsa-ochiru-hero.jpg","住宅ローン審査の書類を確認しながら事前準備を進める様子。落ちる理由をチェックしている","住宅ローン / 家計 / 電卓 お金","home loan finance money calculator financial planning","最初の見出し（##）付近に「住宅ローン」に関する写真や図解を1枚（任意）。ファイル名例: 042-jutaku-loan-shinsa-ochiru-01.jpg"
"043","お金・ローン","住宅ローン控除（住宅ローン減税）2026年版の条件と上限をわかりやすく","アイキャッチ1枚（必須）＋本文中1枚（任意）","043-jutaku-loan-kojo-2026-hero.jpg","住宅ローン控除の申告書類を確認する様子。2026年の条件と控除上限をチェックしている","住宅ローン控除 / 住宅ローン / 家計","home loan finance money calculator financial planning","最初の見出し（##）付近に「住宅ローン控除」に関する写真や図解を1枚（任意）。ファイル名例: 043-jutaku-loan-kojo-2026-01.jpg"
"044","お金・ローン","月々の返済額シミュレーション｜無理のない返済比率の目安","アイキャッチ1枚（必須）＋本文中1枚（任意）","044-jutaku-loan-hensai-hiritsu-hero.jpg","住宅ローンの返済比率を電卓で計算する様子。月々の返済額シミュレーションを確認している","住宅ローン / 家計 / 電卓 お金","home loan finance money calculator financial planning","最初の見出し（##）付近に「住宅ローン」に関する写真や図解を1枚（任意）。ファイル名例: 044-jutaku-loan-hensai-hiritsu-01.jpg"
"045","お金・ローン","諸費用込みでいくら必要？不動産購入時の総額の出し方","アイキャッチ1枚（必須）＋本文中1枚（任意）","045-fudosan-kounyu-sougaku-hero.jpg","不動産購入の総額を諸費用込みで計算する様子。物件価格と諸費用の内訳を確認している","不動産購入 / 住宅ローン / 家計","home loan finance money calculator financial planning","最初の見出し（##）付近に「不動産購入」に関する写真や図解を1枚（任意）。ファイル名例: 045-fudosan-kounyu-sougaku-01.jpg"
"046","お金・ローン","不動産取得税・登録免許税の計算と軽減措置をわかりやすく解説","アイキャッチ1枚（必須）＋本文中1枚（任意）","046-fudosan-shutokuzei-keisan-hero.jpg","不動産取得税と登録免許税の計算を書類で確認する様子。軽減措置の要件をチェックしている","不動産取得税 / 住宅ローン / 家計","home loan finance money calculator financial planning","最初の見出し（##）付近に「不動産取得税」に関する写真や図解を1枚（任意）。ファイル名例: 046-fudosan-shutokuzei-keisan-01.jpg"
"047","お金・ローン","固定資産税はいくら？マンションと戸建ての違いをわかりやすく解説","アイキャッチ1枚（必須）＋本文中1枚（任意）","047-kotei-shisanzei-ikura-hero.jpg","固定資産税の納税通知書を確認する様子。マンションと戸建ての負担の違いをチェックしている","固定資産税 / 住宅ローン / 家計","home loan finance money calculator financial planning","最初の見出し（##）付近に「固定資産税」に関する写真や図解を1枚（任意）。ファイル名例: 047-kotei-shisanzei-ikura-01.jpg"
"048","お金・ローン","繰り上げ返済のメリットと最適なタイミングをわかりやすく解説","アイキャッチ1枚（必須）＋本文中1枚（任意）","048-kuriage-hensai-timing-hero.jpg","繰り上げ返済の効果を試算する様子。期間短縮型と返済額軽減型のタイミングを確認している","繰り上げ返済 / 住宅ローン / 家計","home loan finance money calculator financial planning","最初の見出し（##）付近に「繰り上げ返済」に関する写真や図解を1枚（任意）。ファイル名例: 048-kuriage-hensai-timing-01.jpg"
"049","お金・ローン","団信（団体信用生命保険）の選び方と保障の違いをわかりやすく解説","アイキャッチ1枚（必須）＋本文中1枚（任意）","049-danshin-erabikata-hero.jpg","団信の保障内容を資料で比較検討する様子。団体信用生命保険の選び方を確認している","団信 / 住宅ローン / 家計","home loan finance money calculator financial planning","最初の見出し（##）付近に「団信」に関する写真や図解を1枚（任意）。ファイル名例: 049-danshin-erabikata-01.jpg"
"050","お金・ローン","自己資金ゼロのフルローンは危険？メリットとリスクを徹底解説","アイキャッチ1枚（必須）＋本文中1枚（任意）","050-full-loan-risk-hero.jpg","フルローンのメリットとリスクを資料で確認する様子。頭金なしの住宅ローンを検討している","フルローン / 住宅ローン / 家計","home loan finance money calculator financial planning","最初の見出し（##）付近に「フルローン」に関する写真や図解を1枚（任意）。ファイル名例: 050-full-loan-risk-01.jpg"
"051","お金・ローン","ボーナス払いは使うべき？住宅ローンの返済設計の注意点","アイキャッチ1枚（必須）＋本文中1枚（任意）","051-jutaku-loan-bonus-barai-hero.jpg","住宅ローンのボーナス払いを試算する様子。返済設計の注意点を確認している","住宅ローン / 家計 / 電卓 お金","home loan finance money calculator financial planning","最初の見出し（##）付近に「住宅ローン」に関する写真や図解を1枚（任意）。ファイル名例: 051-jutaku-loan-bonus-barai-01.jpg"
"052","お金・ローン","住宅ローンの借り換えで得する条件と手数料をわかりやすく解説","アイキャッチ1枚（必須）＋本文中1枚（任意）","052-jutaku-loan-karikae-hero.jpg","住宅ローンの借り換えを試算する様子。得する条件と手数料を確認している","住宅ローン / 家計 / 電卓 お金","home loan finance money calculator financial planning","最初の見出し（##）付近に「住宅ローン」に関する写真や図解を1枚（任意）。ファイル名例: 052-jutaku-loan-karikae-01.jpg"
"053","お金・ローン","親からの住宅資金援助と贈与税の非課税枠をわかりやすく解説","アイキャッチ1枚（必須）＋本文中1枚（任意）","053-jutaku-shikin-zoyozei-hikazei-hero.jpg","親からの住宅資金援助と贈与税の非課税枠を資料で確認する様子。特例の要件をチェックしている","住宅資金 / 住宅ローン / 家計","home loan finance money calculator financial planning","最初の見出し（##）付近に「住宅資金」に関する写真や図解を1枚（任意）。ファイル名例: 053-jutaku-shikin-zoyozei-hikazei-01.jpg"
"054","お金・ローン","自営業・フリーランスの住宅ローン審査対策をわかりやすく解説","アイキャッチ1枚（必須）＋本文中1枚（任意）","054-jieigyo-jutaku-loan-shinsa-hero.jpg","自営業の住宅ローン審査対策を確定申告書で確認する様子。所得の見られ方をチェックしている","自営業 / 住宅ローン / 家計","home loan finance money calculator financial planning","最初の見出し（##）付近に「自営業」に関する写真や図解を1枚（任意）。ファイル名例: 054-jieigyo-jutaku-loan-shinsa-01.jpg"
"055","お金・ローン","頭金あり・なしで総返済額はどれだけ変わる？シミュレーションで比較","アイキャッチ1枚（必須）＋本文中1枚（任意）","055-atamakin-arinashi-sohensai-hero.jpg","頭金の有無で総返済額がどう変わるかを試算する様子。電卓と返済プランの資料","頭金 / 住宅ローン / 家計","home loan finance money calculator financial planning","最初の見出し（##）付近に「頭金」に関する写真や図解を1枚（任意）。ファイル名例: 055-atamakin-arinashi-sohensai-01.jpg"
"056","お金・ローン","共有名義のメリット・デメリットと住宅ローン控除のポイント","アイキャッチ1枚（必須）＋本文中1枚（任意）","056-kyoyu-meigi-merit-hero.jpg","夫婦で住宅を共有名義にする際の持分割合を相談する様子。契約書類とローン資料","共有名義 / 住宅ローン / 家計","home loan finance money calculator financial planning","最初の見出し（##）付近に「共有名義」に関する写真や図解を1枚（任意）。ファイル名例: 056-kyoyu-meigi-merit-01.jpg"
"057","お金・ローン","不動産購入後にかかるランニングコスト総まとめ｜毎月・毎年の支出","アイキャッチ1枚（必須）＋本文中1枚（任意）","057-fudosan-running-cost-hero.jpg","持ち家の維持費の内訳を家計簿で確認する様子。固定資産税や管理費などの支出","不動産 / 住宅ローン / 家計","home loan finance money calculator financial planning","最初の見出し（##）付近に「不動産」に関する写真や図解を1枚（任意）。ファイル名例: 057-fudosan-running-cost-01.jpg"
"058","お金・ローン","住宅ローンの事前審査と本審査の違い・必要書類を徹底解説","アイキャッチ1枚（必須）＋本文中1枚（任意）","058-loan-jizen-hon-shinsa-hero.jpg","住宅ローンの事前審査に必要な書類を準備する様子。本人確認書類や収入資料","住宅ローン / 家計 / 電卓 お金","home loan finance money calculator financial planning","最初の見出し（##）付近に「住宅ローン」に関する写真や図解を1枚（任意）。ファイル名例: 058-loan-jizen-hon-shinsa-01.jpg"
"059","賃貸","賃貸契約の流れ｜申し込みから入居までの期間と手順","アイキャッチ1枚（必須）＋本文中1枚（任意）","059-chintai-keiyaku-nagare-hero.jpg","賃貸契約の申し込みから入居までの流れを確認する様子。書類と鍵のイメージ","賃貸契約 / 賃貸 部屋 / 引っ越し","apartment rental moving japan room interior","最初の見出し（##）付近に「賃貸契約」に関する写真や図解を1枚（任意）。ファイル名例: 059-chintai-keiyaku-nagare-01.jpg"
"060","賃貸","内見で必ずチェックすべき室内・周辺ポイント一覧","アイキャッチ1枚（必須）＋本文中1枚（任意）","060-chintai-naiken-check-hero.jpg","賃貸物件の内見で室内の設備や採光を確認する様子。メジャーとチェックリスト","賃貸 / 賃貸 部屋 / 引っ越し","apartment rental moving japan room interior","最初の見出し（##）付近に「賃貸」に関する写真や図解を1枚（任意）。ファイル名例: 060-chintai-naiken-check-01.jpg"
"061","賃貸","賃貸の審査に通らない理由と対策｜保証会社の仕組み","アイキャッチ1枚（必須）＋本文中1枚（任意）","061-chintai-shinsa-tooranai-hero.jpg","賃貸の入居審査の書類を準備する様子。保証会社の審査と必要書類のイメージ","賃貸 / 賃貸 部屋 / 引っ越し","apartment rental moving japan room interior","最初の見出し（##）付近に「賃貸」に関する写真や図解を1枚（任意）。ファイル名例: 061-chintai-shinsa-tooranai-01.jpg"
